时间,job0,job1,job2,随机数,总份额,模,运行
1,9,8,6,605944,197,169,job2
2,9,8,5,606802,197,42,job0
3,8,8,5,581204,197,54,job0
4,8,8,4,158383,197,192,job2
5,7,8,4,430670,197,28,job0
6,6,8,4,393532,197,123,job1
7,6,7,4,723012,197,22,job0
8,5,7,3,994820,197,167,job2
9,4,7,3,949396,197,53,job0
10,3,7,3,544177,197,63,job0
11,2,7,3,444854,197,28,job0
12,2,7,3,268241,197,124,job1
13,1,7,3,35924,197,70,job0
14,完成,6,3,27444,197,61,job0
15,,6,3,464894,103,55,job1
16,,5,3,318465,103,92,job2
17,,4,2,380015,103,48,job1
18,,3,2,891790,103,16,job1
19,,2,1,525753,103,41,job1
20,,1,1,560510,103,87,job2
21,,完成,1,236123,103,47,job1
22,,,1,23858,103,65,job1
23,,,完成,325143,30,3,job2
